Clinical specialty,disease_GT,Frequency,Model,Disease_description,HumanEvalScore,gpt5-0807-m1,gpt5-0807-m2,gpt5-0807-m3,gpt-5.1-1113-m1,gpt-5.1-1113-m2,gpt-5.1-1113-m3,gpt-5.2-1211-m1,gpt-5.2-1211-m2,gpt-5.2-1211-m3,gpt-5-mini-0807-m1,gpt-5-mini-0807-m2,gpt-5-mini-0807-m3,o4-mini-m1,o4-mini-m2,o4-mini-m3,gemini-3.1-pro-m1,gemini-3.1-pro-m2,gemini-3.1-pro-m3,deepseek-r1-0528-v1,deepseek-r1-0528-v2,deepseek-r1-0528-v3,oss20b (L) v1,oss20b (L) v2,oss20b (L) v3,oss20b (M) v1,oss20b (M) v2,oss20b (M) v3,oss20b (H) v1,oss20b (H) v2,oss20b (H) v3,oss120b (L) v1,oss120b (L) v2,oss120b (L) v3,oss120b (M) v1,oss120b (M) v2,oss120b (M) v3,oss120b (H) v1,oss120b (H) v2,oss120b (H) v3,qwen3.5 35B v1,qwen3.5 35B v2,qwen3.5 35B v3,qwen3.5 9B v1,qwen3.5 9B v2,qwen3.5 9B v3,qwen3.5 27B v1,qwen3.5 27B v2,qwen3.5 27B v3,gemma4 31B v1,gemma4 31B v2,gemma4 31B v3
Gynecology,Cervical carcinoma,Less Frequent,GPT-4o,"Treatment Task: I am a 42 year old woman and for the past few months I have noticed light vaginal bleeding after sexual intercourse and at times pain. This has never happened before. I also have a watery, brownish discharge that kind of irritates me. I had an abortion when I was 18. At that time I was not ready for a steady partnership, let alone family. I partied a lot back then, sometimes took drugs and smoked. In the meantime, I lead a very bourgeois life. I am married, have a daughter and a good job. I work a lot and therefore have not been to the gynecologist for 5 years. I have never had such complaints. Otherwise I have always been healthy and my cycle is regular. My doctor has diagnosed me with Cervical carcinoma. What are the most appropriate therapies in my case? Name up to five.
 
  True Disease: Cervical carcinoma
 
  Model Output:Surgical treatment (if early-stage disease) – If the cancer is detected at an early stage (IA1-IB1), surgical options such as conization (for very early lesions), simple or radical hysterectomy (removal of the uterus), and lymph node dissection may be considered. If fertility preservation is desired, a radical trachelectomy (removal of the cervix but keeping the uterus) might be an option.
 
 Radiotherapy (if locally advanced disease) – In more advanced cases (IB2-IVA), external beam radiotherapy combined with brachytherapy (internal radiation) is a standard treatment approach.
 
 Chemoradiotherapy (if advanced or high-risk) – If the cancer is beyond an early stage, a combination of radiotherapy and chemotherapy (cisplatin-based regimens) is often used to improve survival and reduce recurrence risk.
 
 Targeted therapy or immunotherapy (for metastatic or recurrent disease) – In cases of metastatic or recurrent cervical cancer, Bevacizumab (anti-VEGF therapy) or immunotherapy (e.g., pembrolizumab for PD-L1 positive tumors) may be beneficial.
 
 Regular follow-up and HPV vaccination for your daughter (prevention for the next generation) – Even after treatment, regular gynecological follow-ups with Pap smears and HPV testing are crucial to detect recurrences early. Since high-risk HPV is a leading cause of cervical cancer, vaccination for your daughter could help prevent future disease.",4,4,3.5,4.5,4.5,4,4.5,3.5,3.5,3.5,4.5,4.5,5,4,4,4,5,5,5,5,5,5,5,5.0,5.0,5,5.0,5.0,5,5.0,5.0,4,5.0,5.0,4,5.0,5.0,5,5,5,3.5,4,4.5,5,5,5,4,4,5,4,4,4
Gynecology,Adnexal torsion / ovarian torsion,Less Frequent,GPT-4o,"Treatment Task: I am a yoga instructor and a participant just felt an extreme lower abdominal pain after an exercise and could not get up. She says she is actually healthy, just that her last period missed. She has a lot of stress, her boyfriend broke up with her 4 months ago and I guess that still bothers her a lot. She could not be pregnant because she has not had sexual intercourse for several months. She has never experienced this kind of pain before. My doctor has diagnosed me with Adnexal torsion / ovarian torsion. What are the most appropriate therapies in my case? Name up to five.
 
  True Disease: Adnexal torsion / ovarian torsion
 
  Model Output:Emergency Laparoscopy (Minimally Invasive Surgery) – First-line treatment to untwist the ovary and preserve its function; should be performed as soon as possible to prevent tissue necrosis.
 
 Oophoropexy (Ovary Fixation Surgery, if Recurrent) – In some cases, the ovary may be surgically fixed to prevent future torsion, especially in patients with predisposing factors like ovarian cysts.
 
 Pain Management (IV Analgesics, NSAIDs, or Opioids if Severe) – Needed to control extreme pain before or after surgery, but definitive treatment is surgical.
 
 Salpingo-Oophorectomy (Ovary Removal, if Necrosis Present) – If blood flow is not restored in time and the ovary is non-viable, it may need to be surgically removed.
 
 Hormonal Therapy (If Underlying Cystic or Hormonal Condition Identified) – If ovarian cysts or other hormone-related factors contributed to torsion, birth control pills or hormonal therapy may help prevent recurrence.",4,5,5,5,5,5,5,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5.0,4.0,5,5.0,5.0,5,5.0,4.0,4,4.0,5.0,5,5.0,3.5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Gynecology,Menopause,Frequent,GPT-4o,"Treatment Task: I am a 52 year old woman, actually athletic, slim and fit. But I haven't been able to sleep properly for months. I wake up all the time. In addition, my cycle is completely unpredictable. Sometimes the period stays away for several months and then it suddenly comes three times in quick succession and so strongly, as I don't know it at all. In addition, I am often depressed, quickly irritable and sweat very often. I have always been healthy, do not smoke and drink very little alcohol. My doctor has diagnosed me with Menopause. What are the most appropriate therapies in my case? Name up to five.
 
  True Disease: Menopause
 
  Model Output:Hormone Replacement Therapy (HRT, if no contraindications) – Estrogen or combined estrogen-progestin therapy can help alleviate symptoms like sleep disturbances, mood swings, hot flashes, and irregular cycles.
 
 Non-Hormonal Treatment for Hot Flashes – Alternatives like SSRIs (e.g., paroxetine), SNRIs (e.g., venlafaxine), gabapentin, or clonidine can reduce hot flashes and improve mood if HRT is not an option.
 
 Lifestyle Modifications – Regular exercise, stress management (e.g., yoga, meditation), and a healthy diet rich in calcium and vitamin D can help maintain overall well-being and prevent osteoporosis.
 
 Sleep Optimization – Melatonin supplements, good sleep hygiene practices, or herbal remedies like valerian root can improve sleep quality and reduce night awakenings.
 
 Psychological Support and Cognitive Behavioral Therapy (CBT) – If depression and irritability are significant, CBT or counseling can be beneficial, along with mindfulness-based stress reduction techniques.",5,5,5,5,5,5,5,4.5,4.5,4.5,5,5,5,5,5,5,5,5,5,5,5,5,5,5.0,5.0,5,5.0,5.0,5,5.0,5.0,5,5.0,5.0,5,4.5,5.0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Gynecology,Bartholin's abscess / bartholinitis,Less Frequent,GPT-4o,"Treatment Task: I am a nurse and for the last 4 days I have been having severe pain at the vaginal entrance and on the left side I also feel a hardening that has become much bigger in the last few days. I went to my gynecologist yesterday but her ointment hardly helps. Today the pain is so bad that I can barely sit. I have never had gynecological problems before. My cycle is regular and I haven't had a change of partners either. My doctor has diagnosed me with Bartholin's abscess / bartholinitis. What are the most appropriate therapies in my case? Name up to five.
 
  True Disease: Bartholin's abscess / bartholinitis
 
  Model Output:Incision and Drainage (I&D) – Preferred Treatment for Large Abscesses
 
 A minor surgical procedure to relieve pain and remove infected fluid.
 Performed under local anesthesia in a doctor’s office or hospital.
 Word Catheter Placement (After Drainage) – To Prevent Recurrence
 
 A small tube is inserted into the gland to allow continuous drainage for 4-6 weeks.
 Helps prevent the abscess from re-forming.
 Antibiotic Therapy (If Severe Infection or Signs of Systemic Illness)
 
 Usually not required for small abscesses, but needed if:
 Fever, extensive cellulitis, or recurrent infections.
 Common antibiotics: Amoxicillin-Clavulanate, Clindamycin, or Doxycycline (depending on culture results).
 Pain Relief and Anti-Inflammatory Treatment
 
 NSAIDs (e.g., Ibuprofen, Diclofenac) to reduce pain and swelling.
 Warm sitz baths (3-4 times daily) to promote drainage and comfort.
 Marsupialization (Surgical Gland Opening) – For Recurrent Abscesses
 
 If you experience repeated Bartholin’s abscesses, a long-term surgical solution may be needed.
 Prevents future blockages while preserving gland function.",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5.0,5.0,5,5.0,5.0,5,5.0,5.0,5,5.0,5.0,5,5.0,5.0,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5
Gynecology,Pelvic inflammatory disease (PID),Frequent,GPT-4o,"Treatment Task: I am a 20 year old female and have been having pain throughout my lower abdomen since yesterday, which initially got better but worsened significantly tonight. I have a fever up to 39.5 degrees. I do not have nausea or vomiting. Bowel movements are regular and firm. I am otherwise healthy and my last period was a week ago. My last gynecological checkup 6 months ago was unremarkable. My doctor has diagnosed me with Pelvic inflammatory disease (PID). What are the most appropriate therapies in my case? Name up to five.
 
  True Disease: Pelvic inflammatory disease (PID)
 
  Model Output:Broad-Spectrum Antibiotic Therapy (Empiric Treatment)
 
 Outpatient:
 Ceftriaxone (500 mg IM, single dose) + Doxycycline (100 mg orally, twice daily for 14 days) + Metronidazole (500 mg orally, twice daily for 14 days) (for anaerobic coverage).
 Inpatient (if severe symptoms, high fever, or worsening condition):
 IV Ceftriaxone + IV Doxycycline + IV Metronidazole, followed by oral antibiotics after improvement.
 Pain Management & Anti-Inflammatory Treatment
 
 Nonsteroidal anti-inflammatory drugs (NSAIDs, e.g., ibuprofen, naproxen) to reduce pain and inflammation.
 Bed Rest & Hydration
 
 Avoid strenuous activity, drink plenty of fluids, and ensure adequate rest to support recovery.
 Partner Treatment & Sexual Abstinence Until Recovery
 
 Your sexual partner(s) should be tested and treated for Chlamydia and Gonorrhea, even if asymptomatic, to prevent reinfection.
 Avoid sexual intercourse until treatment is completed and symptoms resolve.
 Follow-Up & Monitoring for Complications
 
 A follow-up exam in 48–72 hours is crucial to ensure improvement.
 Monitor for abscess formation, chronic pelvic pain, or infertility risks. If symptoms worsen, hospital admission may be required.",5,5,5,5,3,5,3,3.5,3.5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5.0,5.0,5,5.0,5.0,5,5.0,5.0,1.5,5.0,5.0,2,5.0,5.0,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Gynecology,Ectopic pregnancy,Less Frequent,GPT-4o,"Treatment Task: I am a 28 year old female who has had severe right sided lower abdominal pain since this afternoon. No nausea, no vomiting, no fever. I have no previous illness and no appendix anymore. I am doubled over in pain though. My doctor has diagnosed me with Ectopic pregnancy. What are the most appropriate therapies in my case? Name up to five.
 
  True Disease: Ectopic pregnancy
 
  Model Output:Surgical treatment (if ruptured or unstable) – If the ectopic pregnancy is ruptured or causing severe pain and internal bleeding, emergency laparoscopy or laparotomy is needed to remove the ectopic pregnancy. Salpingectomy (removal of the affected fallopian tube) or salpingostomy (preserving the tube if possible) may be performed.
 
 Methotrexate therapy (if unruptured and stable) – In stable patients with early-stage ectopic pregnancy, a single or multiple-dose regimen of methotrexate (a folate antagonist that stops cell growth) can be used to dissolve the pregnancy without surgery. This is an option only if hCG levels are low and there is no rupture risk.
 
 Expectant management (watchful waiting in very selected cases) – If the ectopic pregnancy is very small, hCG levels are low and declining, and there are no symptoms of rupture, close monitoring with serial hCG measurements and ultrasounds may be an option.
 
 Pain management and supportive care – Acetaminophen (paracetamol) or mild opioids may be given for pain relief, but NSAIDs should be avoided if methotrexate is used, as they can interfere with its function. Intravenous fluids may be needed if there is blood loss.
 
 Psychological support and future fertility counseling – Since an ectopic pregnancy can impact fertility, a follow-up with a gynecologist or fertility specialist is recommended to assess fallopian tube health and discuss future pregnancy planning. Early ultrasound in future pregnancies is essential to rule out recurrence.",4,5,4.5,5,5,5,5,4.5,4.5,4.5,4.5,4.5,4.5,5,5,5,5,5,5,5,5,5,4,5.0,5.0,3,5.0,5.0,5,5.0,5.0,5,5.0,5.0,5,5.0,5.0,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4
Pediatrics,Congenital adrenal hyperplasia,Less Frequent,GPT-4o,"Treatment Task: My newborn, Chris (10 days old), is increasingly tired, doesn't want to drink, and keeps vomiting. We had a normal pregnancy. The birth weight was 3490g. Everything went smoothly and so we were discharged after 3 days. We did not do a newborn screening because the examination for congenital hormonal and metabolic disorders in the children from the first marriage in each case had been unremarkable. My doctor has diagnosed me with Congenital adrenal hyperplasia. What are the most appropriate therapies in my case? Name up to five.
 
  True Disease: Congenital adrenal hyperplasia
 
  Model Output:Hydrocortisone (Glucocorticoid Replacement Therapy, IV or Oral) – Lifesaving treatment to replace deficient cortisol and stabilize metabolism, blood pressure, and energy levels.
 
 Fludrocortisone (Mineralocorticoid Replacement Therapy) – Needed in salt-wasting forms of congenital adrenal hyperplasia (CAH) to maintain sodium balance and prevent dehydration and hypotension.
 
 Intravenous Fluids and Electrolyte Management (0.9% Saline + Dextrose) – Essential for treating dehydration, correcting hyponatremia (low sodium), and preventing hypoglycemia.
 
 Newborn Screening and Genetic Testing (Confirmatory Diagnosis) – Although clinical symptoms are suggestive, biochemical tests (17-hydroxyprogesterone levels) and genetic testing confirm the diagnosis and subtype.
 
 Parental Education and Emergency Steroid Stress Dosing – Parents should be trained in emergency hydrocortisone injections for times of illness, stress, or adrenal crisis to prevent life-threatening complications.",4.5,4,4,4,4,4,4.5,4,3.5,3.5,4,4.5,3.5,4,4,5,5,5,5,4,4,5,3,5.0,5.0,4,5.0,4.0,4,3.5,5.0,4,5.0,5.0,4,5.0,3.5,4,5,5,5,5,5,3.5,3.5,2.5,4.5,4.5,4.5,4,4,4
Pediatrics,Agammaglobulinemia,Rare,GPT-4o,"Treatment Task: My 2 year old son suffers from infections very frequently. I first noticed poor wound healing when he was 8 months old. An abrasion quickly became suppurative, which was treated with antibiotics as an inpatient. Since then, our son has received antibiotic therapy four times for ear infections. A week ago, he was discharged after a 10-day inpatient stay with pneumonia and already has another cold. He also has a fever of 38.3. This is not normal. My doctor has diagnosed me with Agammaglobulinemia. What are the most appropriate therapies in my case? Name up to five.
 
  True Disease: Agammaglobulinemia
 
  Model Output:Immunoglobulin Replacement Therapy (IVIG or SCIG) – Regular intravenous (IVIG) or subcutaneous (SCIG) immunoglobulin therapy to provide missing antibodies and reduce the frequency and severity of infections.
 
 Prompt and Aggressive Antibiotic Treatment for Infections – Early broad-spectrum antibiotics should be administered at the first sign of infection to prevent severe complications like pneumonia or sepsis.
 
 Routine Monitoring and Specialist Care (Immunologist/Pediatrician) – Regular immune function assessments, IgG level monitoring, and lung function evaluations to manage disease progression and complications.
 
 Preventive Measures (Vaccinations and Hygiene Practices) – While live vaccines are contraindicated, killed/inactivated vaccines may be beneficial in some cases; maintaining good hygiene and avoiding sick contacts is crucial.
 
 Screening for Complications (Lung Damage, Autoimmune Disorders) – Long-term monitoring for bronchiectasis, chronic lung disease, or autoimmune conditions, which are common in primary immunodeficiencies.",5,3.5,4,5,4.5,4.5,4.5,4.5,4.5,4.5,5,5,5,5,5,5,5,5,5,5,5,5,5,4.0,3.0,1,3.0,4.0,5,3.0,4.0,4.5,4.0,4.5,2,2.5,4.0,5,3.5,4.5,5,5,5,5,5,5,5,5,5,5,5,5
Pediatrics,Lyme Neuroborreliosis,Less Frequent,GPT-4o,"Treatment Task: I am a mother of a 7 year old son. I have been annoyed for three days that toothpaste always drips out of his mouth onto his shirt when he brushes his teeth. Today I also noticed that his facial expressions on the right side of his face are almost absent and his right eye is watery. He is otherwise calm but quite tired. My doctor has diagnosed me with Lyme Neuroborreliosis. What are the most appropriate therapies in my case? Name up to five.
 
  True Disease: Lyme Neuroborreliosis
 
  Model Output:Intravenous or Oral Antibiotic Therapy (Depending on Severity)
 
 IV Ceftriaxone (preferred for severe cases) – 14–21 days.
 Oral Doxycycline (if mild and no CNS involvement) – 14–21 days.
 Alternative: Amoxicillin for younger children if doxycycline is contraindicated.
 Eye Protection for Facial Palsy (Prevent Corneal Damage)
 
 Artificial tears or ophthalmic ointment to prevent dry eye.
 Eye patch or tape at night if the eye cannot fully close.
 Corticosteroids (Limited Use and Controversial)
 
 Not typically recommended for Lyme-associated facial palsy, but may be used in severe cases.
 Physical Therapy & Facial Exercises
 
 Promotes recovery of facial nerve function and prevents muscle atrophy.
 Supportive Care (Rest, Fluids, and Symptom Management)
 
 Manage fatigue with proper rest and hydration.
 Pain relief with NSAIDs (e.g., Ibuprofen) if needed.",4,4,4,4.5,4,4,4,3,3,3,5,5,5,5,5,5,5,5,5,4,4,5,5,4.0,5.0,5,5.0,5.0,3,4.0,5.0,4.5,5.0,4.5,4,5.0,4.5,4.5,5,5,5,5,5,5,4,4.5,5,5,4.5,5,5,5
Pediatrics,Febrile seizure,Frequent,GPT-4o,"Treatment Task: My son is 15 months old. For 2 days he has had a cold, sore throat and fever up to a maximum of 40 degrees. Due to a positive throat swab for group A streptococcus the day before at the pediatrician, we are now giving him an antibiotic treatment with penicillin. Today there was a situation in which Marcel was very quiet, he no longer reacted properly to speech, his eyes were often turned upwards and he twitched at all extremities. This condition lasted for about 60 seconds. After that, he fell asleep. There are no allergies, pre-existing conditions or permanent medication. He was also vaccinated according to STIKO recommendations. My doctor has diagnosed me with Febrile seizure. What are the most appropriate therapies in my case? Name up to five.
 
  True Disease: Febrile seizure
 
  Model Output:Supportive Care During a Seizure (First Aid Measures)
 
 Place him on his side in a safe position to prevent choking.
 Do not put anything in his mouth.
 Monitor seizure duration and breathing.
 Antipyretic Therapy for Fever Management
 
 Paracetamol (Acetaminophen) or Ibuprofen to reduce fever and improve comfort, though this does not prevent future febrile seizures.
 Completion of Antibiotic Therapy (Penicillin for Streptococcal Infection)
 
 Ensure full adherence to the prescribed penicillin course to treat group A streptococcal infection.
 Observation and Follow-Up with Pediatrician
 
 Monitor for recurrence: Most febrile seizures are benign, but a follow-up visit is recommended.
 Seek emergency care if seizures last longer than 5 minutes, occur repeatedly, or if the child has difficulty recovering.
 Education and Emergency Seizure Medication (if Recurrent or Complex Seizures)
 
 If febrile seizures become recurrent or prolonged, a doctor may prescribe a rescue medication (e.g., diazepam rectal gel or midazolam buccal spray) to stop future prolonged seizures.",4.5,5,5,5,5,5,5,4.5,4.5,4.5,5,5,5,5,5,5,5,5,5,5,5,5,5,5.0,4.0,3,5.0,5.0,5,5.0,5.0,5,5.0,5.0,5,5.0,5.0,4,5,5,5,5,5,4.5,5,5,5,5,5,5,5,5
Pediatrics,Crohn's disease,Less Frequent,GPT-4o,"Treatment Task: My 14 year old daughter Mira has been complaining of abdominal pain for the past 6 months, mainly localized in the right lower abdomen. They occur especially after eating and before she goes to the toilet. This is also the reason why Mira is eating less and less and has lost 4kg of weight in the last months. Partly she also has mushy and mucous diarrhea. She also seems very weak. My doctor has diagnosed me with Crohn's disease. What are the most appropriate therapies in my case? Name up to five.
 
  True Disease: Crohn's disease
 
  Model Output:Induction therapy with corticosteroids (to control inflammation quickly) – For moderate to severe Crohn’s disease, Mira may need a short course of corticosteroids (e.g., prednisolone or budesonide) to reduce acute inflammation and symptoms. Budesonide is preferred for milder ileocecal disease due to fewer side effects.
 
 Immunosuppressive therapy (to maintain remission and prevent relapses) – Since Crohn’s disease is chronic, azathioprine, 6-mercaptopurine (6-MP), or methotrexate may be used to maintain remission and avoid long-term steroid use.
 
 Biologic therapy (if moderate to severe disease) – If symptoms are severe or do not respond to conventional therapy, TNF-alpha inhibitors (infliximab, adalimumab) or integrin inhibitors (vedolizumab) can be used to control inflammation and prevent complications.
 
 Nutritional therapy (to support weight gain and reduce inflammation) – Since Mira has lost weight and is eating less, a high-calorie, anti-inflammatory diet is important. In children and adolescents, exclusive enteral nutrition (EEN) with a liquid formula diet may be used to induce remission without steroids.
 
 Psychosocial support and lifestyle management – Since Crohn’s disease affects growth and quality of life, regular follow-ups with a pediatric gastroenterologist, psychological support, and stress management are crucial for Mira’s well-being.",3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4.5,5,5,5.0,5.0,5,5.0,5.0,5,5.0,5.0,5,5.0,5.0,5,5.0,4.0,5,4.5,5,5,5,5,5,5,5,5,5,5,5,5,5
Pediatrics,Cystic fibrosis,Rare,GPT-4o,"Treatment Task: My 10 month old infant may have a failure to thrive. He has barely gained weight since 6 months of age and weight has slipped from the 25th to the 3rd percentile. Stools are bulky, greasy, and smelly. At 8 months of age, Tim has gone through a persistent upper respiratory infection with whistling breath sounds. He also tastes strangely salty when kissed. My doctor has diagnosed me with Cystic fibrosis. What are the most appropriate therapies in my case? Name up to five.
 
  True Disease: Cystic fibrosis
 
  Model Output:Pancreatic Enzyme Replacement Therapy (PERT, e.g., Creon) – Helps digest fats and proteins, improving nutrient absorption and weight gain.
 
 Nutritional Support (High-Calorie Diet + Fat-Soluble Vitamins A, D, E, K) – Ensures adequate growth and compensates for malabsorption.
 
 Airway Clearance Therapy (Chest Physiotherapy, Postural Drainage, or Oscillatory Devices) – Helps clear thick mucus from the lungs, reducing the risk of infections.
 
 Inhaled Medications (e.g., Saline Nebulization, Dornase Alfa, or Bronchodilators) – Loosens mucus, improves lung function, and prevents respiratory complications.
 
 CFTR Modulator Therapy (if Eligible, e.g., Ivacaftor or Combination Therapy) – Addresses the underlying defect in CFTR protein function, improving lung and digestive health (specific to mutation type).",4.5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5.0,5.0,5,5.0,5.0,5,4.0,5.0,5,5.0,5.0,5,5.0,5.0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Pediatrics,Insulin-dependent Diabetes mellitus / Diabetes mellitus type 1,Less Frequent,GPT-4o,"Treatment Task: My daughter, Zoe, is 5 years old and has been floppy and tired for four weeks. Since last week she has been complaining of abdominal pain, has to urinate frequently and threw up twice yesterday. She had a febrile upper respiratory infection 8 weeks ago. Zoe's appetite remains good. However, she has lost 2 kg in weight. She drinks very well, up to 4 liters a day and always asks for iced tea and lemonade. So far, Zoe has always been healthy. My doctor has diagnosed me with Insulin-dependent Diabetes mellitus / Diabetes mellitus type 1. What are the most appropriate therapies in my case? Name up to five.
 
  True Disease: Insulin-dependent Diabetes mellitus / Diabetes mellitus type 1
 
  Model Output:Insulin Therapy – Lifelong insulin treatment (basal-bolus regimen or insulin pump therapy) is necessary to maintain blood glucose control and prevent ketoacidosis.
 
 Blood Glucose Monitoring – Frequent blood sugar checks using a glucometer or continuous glucose monitoring (CGM) system to adjust insulin doses and prevent hypoglycemia/hyperglycemia.
 
 Dietary and Fluid Management – A balanced diet with controlled carbohydrate intake, avoiding excessive sugary drinks, and maintaining adequate hydration to prevent complications.
 
 Education for Parents and Zoe – Diabetes education on insulin administration, recognizing hypoglycemia/hyperglycemia, and emergency management (e.g., diabetic ketoacidosis symptoms) for both parents and the child.
 
 Regular Pediatric Endocrinology Follow-Ups – Routine check-ups with a pediatric endocrinologist to monitor growth, development, HbA1c levels, and prevent long-term complications (e.g., kidney, eye, and nerve damage).",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5.0,5.0,5,4.5,5.0,5,5.0,5.0,5,5.0,5.0,5,5.0,5.0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
